2025-06-15 18:54:28 | INFO | Starting OCR processing
2025-06-15 18:54:28 | INFO | Starting NER processing
2025-06-15 18:54:28 | INFO | Processing completed with overall confidence: 1.0
2025-06-15 18:54:30 | INFO | Starting OCR processing
2025-06-15 18:54:30 | INFO | Starting NER processing
2025-06-15 18:54:30 | INFO | Processing completed with overall confidence: 0.9400000000000001
2025-06-15 18:54:32 | INFO | Starting OCR processing
2025-06-15 18:54:33 | INFO | Starting NER processing
2025-06-15 18:54:33 | INFO | Processing completed with overall confidence: 0.9099999999999999
2025-06-15 18:54:35 | INFO | Starting OCR processing
2025-06-15 18:54:35 | INFO | Starting NER processing
2025-06-15 18:54:35 | INFO | Processing completed with overall confidence: 0.9099999999999999
2025-06-15 18:54:37 | INFO | Starting OCR processing
2025-06-15 18:54:37 | INFO | Starting NER processing
2025-06-15 18:54:37 | INFO | Processing completed with overall confidence: 0.9099999999999999
