2025-06-15 12:47:06 | INFO | Starting OCR processing
2025-06-15 12:47:06 | INFO | Starting NER processing
2025-06-15 12:47:06 | INFO | Processing completed with overall confidence: 1.0
2025-06-15 12:47:08 | INFO | Starting OCR processing
2025-06-15 12:47:08 | INFO | Starting NER processing
2025-06-15 12:47:08 | INFO | Processing completed with overall confidence: 0.9400000000000001
2025-06-15 12:47:10 | INFO | Starting OCR processing
2025-06-15 12:47:10 | INFO | Starting NER processing
2025-06-15 12:47:10 | INFO | Processing completed with overall confidence: 0.9099999999999999
2025-06-15 12:47:12 | INFO | Starting OCR processing
2025-06-15 12:47:13 | INFO | Starting NER processing
2025-06-15 12:47:13 | INFO | Processing completed with overall confidence: 0.9099999999999999
2025-06-15 12:47:15 | INFO | Starting OCR processing
2025-06-15 12:47:15 | INFO | Starting NER processing
2025-06-15 12:47:15 | INFO | Processing completed with overall confidence: 0.9099999999999999
