2025-06-15 12:30:03 | INFO | Starting OCR processing
2025-06-15 12:30:04 | INFO | Starting NER processing
2025-06-15 12:30:04 | INFO | Processing completed with overall confidence: 0.97
2025-06-15 12:33:26 | INFO | Starting OCR processing
2025-06-15 12:33:27 | INFO | Starting NER processing
2025-06-15 12:33:27 | INFO | Processing completed with overall confidence: 0.97
2025-06-15 12:37:57 | INFO | Starting OCR processing
2025-06-15 12:37:57 | INFO | Starting NER processing
2025-06-15 12:37:57 | INFO | Processing completed with overall confidence: 1.0
2025-06-15 12:38:00 | INFO | Starting OCR processing
2025-06-15 12:38:00 | INFO | Starting NER processing
2025-06-15 12:38:00 | INFO | Processing completed with overall confidence: 0.9400000000000001
2025-06-15 12:38:02 | INFO | Starting OCR processing
2025-06-15 12:38:02 | INFO | Starting NER processing
2025-06-15 12:38:02 | INFO | Processing completed with overall confidence: 0.9099999999999999
2025-06-15 12:38:04 | INFO | Starting OCR processing
2025-06-15 12:38:05 | INFO | Starting NER processing
2025-06-15 12:38:05 | INFO | Processing completed with overall confidence: 0.9099999999999999
2025-06-15 12:38:07 | INFO | Starting OCR processing
2025-06-15 12:38:07 | INFO | Starting NER processing
2025-06-15 12:38:07 | INFO | Processing completed with overall confidence: 0.9099999999999999
2025-06-15 12:39:00 | INFO | Starting OCR processing
2025-06-15 12:39:00 | INFO | Starting NER processing
2025-06-15 12:39:00 | INFO | Processing completed with overall confidence: 1.0
2025-06-15 12:39:02 | INFO | Starting OCR processing
2025-06-15 12:39:03 | INFO | Starting NER processing
2025-06-15 12:39:03 | INFO | Processing completed with overall confidence: 0.9400000000000001
2025-06-15 12:39:05 | INFO | Starting OCR processing
2025-06-15 12:39:05 | INFO | Starting NER processing
2025-06-15 12:39:05 | INFO | Processing completed with overall confidence: 0.9099999999999999
2025-06-15 12:39:07 | INFO | Starting OCR processing
2025-06-15 12:39:07 | INFO | Starting NER processing
2025-06-15 12:39:07 | INFO | Processing completed with overall confidence: 0.9099999999999999
2025-06-15 12:39:09 | INFO | Starting OCR processing
2025-06-15 12:39:09 | INFO | Starting NER processing
2025-06-15 12:39:09 | INFO | Processing completed with overall confidence: 0.9099999999999999
